,,,Current Location,,,,,Displacement Dynamics,,,,,,,Priority Need,Shelter Details (# of HHs),,,,,,,,,,,,,
IDPs,,,Ibb,An Nadirah,,Yaqa'ah,1,Ibb,An Nadirah,SDSG,2019-04-08,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02037
IDPs,,,Al Dhale'e,Damt,,Sahour-????,-12,Al Dhale'e,Damt,SDSG,2019-04-08,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,-8,-4,0,,20190101 - 20190622,D02085
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Jaleelah-????????,15,Al Dhale'e,Qa'atabah,ODSG,2019-04-08,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,4,0,0,0,0,11,0,0,,20190101 - 20190622,D02092
IDPs,,,Al Dhale'e,Ad Dhale'e,,Dar Al-Samein-??? ??????,4,Al Dhale'e,Qa'atabah,ODSG,2019-04-08,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,4,0,0,,20190101 - 20190622,D02097
IDPs,,,Aden,Al Buraiqeh,,Qarya Kod Qarow-???? ??? ???,7,Al Hudaydah,At Tuhayat,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,7,0,0,,20190101 - 20190622,D02114
IDPs,,,Dhamar,Dhamar City,,Dhmar City,8,Ibb,An Nadirah,ODOG,2019-04-08,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,8,0,0,0,,20190101 - 20190622,D02129
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Dhale'e,Qa'atabah,ODOG,2019-04-08,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02133
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Al Hali,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02141
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Al Mina,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02145
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Ad Durayhimi,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02146
IDPs,,,Sana'a,Sa'fan,,Adrob,2,Al Hudaydah,Ad Durayhimi,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Access to income,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D02157
IDPs,,,Sana'a,Bani Hushaysh,,Al-Mahjal,1,Hajjah,Haradh,ODOG,2019-04-08,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02194
IDPs,,,Sana'a,Bani Hushaysh,,Al-Malecah,4,Hajjah,Haradh,ODOG,2019-04-08,Conflict,Hajjah Conflict,,Health Sanitation/ Hygiene,0,0,0,0,0,0,2,1,1,0,0,,20190101 - 20190622,D02196
IDPs,,,Al Mahwit,Al Mahwait,,Al-Dhola,1,Amanat Al Asimah,As Sabain,ODOG,2019-04-08,Conflict,General Conflict,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02243
IDPs,,,Sana'a,Sanhan,,Masaoud,1,Aden,Al Buraiqeh,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D02258
IDPs,,,Sana'a,Sanhan,,Qa'a Al-Qeidhi,4,Sa'ada,Haydan,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,4,0,0,0,,20190101 - 20190622,D02270
IDPs,,,Sana'a,Sanhan,,,1,Al Hudaydah,Al Hali,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02288
IDPs,,,Sana'a,Sanhan,,Dar Salm,2,Taizz,Shara'b Ar Rawnah,ODOG,2019-04-08,Conflict,General Conflict,,Financial support,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02295
IDPs,,,Dhamar,Dhamar City,,Dhmar City,2,Ibb,An Nadirah,ODOG,2019-04-08,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,1,0,,20190101 - 20190622,D02300
IDPs,,,Amanat Al Asimah,Assafi'yah,,,2,Al Hudaydah,Zabid,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02350
IDPs,,,Amanat Al Asimah,Az'zal,,,1,Taizz,Al Qahirah,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02370
IDPs,,,Amanat Al Asimah,Az'zal,,,2,Al Hudaydah,Al Hali,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02371
IDPs,,,Amanat Al Asimah,Shu'aub,,,1,Al Hudaydah,Al Hawak,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02375
IDPs,,,Amanat Al Asimah,Ma'ain,,,1,Taizz,Ash Shamayatayn,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02414
IDPs,,,Amanat Al Asimah,Ma'ain,,,1,Taizz,Al Mudhaffar,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02418
IDPs,,,Amanat Al Asimah,Ma'ain,,,1,Taizz,As Silw,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02419
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Al Hudaydah,Al Mansuriyah,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02437
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Hajjah,Abs,ODOG,2019-04-08,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02442
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Abyan,Zingibar,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02443
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Al Hudaydah,As Sukhnah,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02444
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Al Hudaydah,Bajil,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02445
IDPs,,,Amanat Al Asimah,Shu'aub,,,27,Al Hudaydah,Al Hawak,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,23,4,0,0,,20190101 - 20190622,D02508
IDPs,,,Amanat Al Asimah,As Sabain,,,3,Taizz,At Ta'iziyah,ODOG,2019-04-08,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D02527
IDPs,,,Amanat Al Asimah,As Sabain,,,2,Taizz,Jabal Habashy,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02569
IDPs,,,Sana'a,Bani Matar,,Rahm Al-Olya,6,Ibb,Al Udayn,ODOG,2019-04-08,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,4,1,1,0,,20190101 - 20190622,D02626
IDPs,,,Sana'a,Bani Matar,,Rahm Al-Olya,4,Al Hudaydah,Al Mina,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,3,1,0,0,,20190101 - 20190622,D02627
IDPs,,,Hajjah,Midi,,Al-Harajah-??????,35,Hajjah,Midi,SDSG,2019-04-08,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Household Items (NFI)-,0,0,0,0,0,0,35,0,0,0,0,,20190101 - 20190622,D03075
IDPs,,,Amran,Al Madan,,Al-Thalaya-???????,2,Hajjah,Kushar,ODOG,2019-04-08,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,0,2,0,,20190101 - 20190622,D03177
IDPs,,,Al Bayda,Maswarah,,Maswarah (Abrah)-????? ( ???? ),2,Al Bayda,Maswarah,SDSG,2019-04-08,Conflict,General Conflict,,Shelter/Housing- Financial support-,0,0,0,0,0,0,2,0,0,0,0,,20190101 - 20190622,D03189
IDPs,,,Sana'a,Manakhah,,Mahas,1,Al Hudaydah,Al Mina,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Access to income,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D03382
IDPs,,,Shabwah,Mayfa'a,,Azaan,1,Taizz,Mawza,ODOG,2019-04-08,Conflict,General Conflict,,Access to income,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D03509
IDPs,,,Shabwah,Mayfa'a,,Azaan,1,Al Hudaydah,Al Mansuriyah,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Access to income,0,0,0,0,0,0,1,0,0,0,0,,20190101 - 20190622,D03510
IDPs,,,Amanat Al Asimah,At Tahrir,,,2,Al Hudaydah,Al Hali,ODOG,2019-04-08,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D03537
IDPs,,,Aden,Attawahi,,At-Tawahi-???????,1,Taizz,Dimnat Khadir,ODOG,2019-04-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D01793
IDPs,,,Al Dhale'e,Ad Dhale'e,,Bajah-????,9,Al Dhale'e,Qa'atabah,ODSG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,6,0,0,0,0,3,0,0,,20190101 - 20190622,D01811
IDPs,,,Al Dhale'e,Damt,,Al-Akrah-??????,-15,Al Dhale'e,Damt,SDSG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,-10,-5,0,,20190101 - 20190622,D01819
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Hazah-??????,2,Al Dhale'e,Qa'atabah,ODSG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,2,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D01828
IDPs,,,Hajjah,Najrah,,Al-Aman-??????,5,Hajjah,Abs,ODSG,2019-04-09,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,5,0,0,0,,20190101 - 20190622,D01916
IDPs,,,Hajjah,Hajjah City,,Al-Qararah-???????,5,Hajjah,Abs,ODSG,2019-04-09,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Household Items (NFI)-,0,0,0,0,0,0,0,5,0,0,0,,20190101 - 20190622,D01939
IDPs,,,Hajjah,Hajjah City,,Ebraheim Mountain-??? ???????,36,Hajjah,Abs,ODSG,2019-04-09,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Household Items (NFI)-,0,0,0,0,0,0,0,36,0,0,0,,20190101 - 20190622,D01948
IDPs,,,Hajjah,Hajjah City,,Hajjah City-????? ???,1,Hajjah,Abs,ODSG,2019-04-09,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01949
IDPs,,,Hajjah,Hajjah City,,Al-Sawael-???????,5,Hajjah,Abs,ODSG,2019-04-09,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Household Items (NFI)-,0,0,0,0,0,0,0,5,0,0,0,,20190101 - 20190622,D01950
IDPs,,,Hajjah,Aflah Ash Shawm,,Al-Habeel-??????,1,Hajjah,Kushar,ODSG,2019-04-09,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D01970
IDPs,,,Al Dhale'e,Damt,,Damet-???,-87,Al Dhale'e,Damt,SDSG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,-20,-45,-22,0,,20190101 - 20190622,D02084
IDPs,,,Al Dhale'e,Damt,,Al-Qaran-??????,-6,Al Dhale'e,Damt,SDSG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,0,-2,-4,0,,20190101 - 20190622,D02086
IDPs,,,Al Dhale'e,Al Hussein,,Al-Qobah-?????,3,Al Dhale'e,Qa'atabah,ODSG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,3,0,0,0,0,0,0,0,,20190101 - 20190622,D02096
IDPs,,,Aden,Al Buraiqeh,,Qarya Kod Qarow-???? ??? ???,4,Al Hudaydah,Ad Durayhimi,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,4,0,0,,20190101 - 20190622,D02113
IDPs,,,Sana'a,Manakhah,,Al-Madarah,1,Sana'a,Bani Matar,ODSG,2019-04-09,Conflict,General Conflict,,Access to income,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02116
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Taizz,Salh,ODOG,2019-04-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02130
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Ibb,An Nadirah,ODOG,2019-04-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D02131
IDPs,,,Sana'a,Sa'fan,,Al-Maqrabah,1,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02155
IDPs,,,Sana'a,Sa'fan,,Bani Araf  Mountain,1,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02158
IDPs,,,Sana'a,Sa'fan,,Sharf Beshr,2,Al Hudaydah,Ad Durayhimi,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,1,0,1,,20190101 - 20190622,D02159
IDPs,,,Sana'a,Bani Hushaysh,,,1,Al Hudaydah,Bayt Al Faqiah,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02162
IDPs,,,Sana'a,Attyal,,Saylan,1,Marib,Sirwah,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02183
IDPs,,,Sana'a,Attyal,,Hatheif,1,Amanat Al Asimah,Shu'aub,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D02191
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Ibb,An Nadirah,ODOG,2019-04-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D02212
IDPs,,,Al Mahwit,Bani Sa'd,,Al-Qasabah,5,Amanat Al Asimah,As Sabain,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,2,0,0,3,0,0,,20190101 - 20190622,D02255
IDPs,,,Sana'a,Sanhan,,Dar Omar,1,Amanat Al Asimah,Az'zal,ODOG,2019-04-09,Conflict,General Conflict,,Access to income,0,0,0,0,0,0,0,0,0,0,0,,20190101 - 20190622,D02257
IDPs,,,Sana'a,Sanhan,,Dhabwah,3,Al Hudaydah,Al Hawak,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Financial support,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D02267
IDPs,,,Sana'a,Sanhan,,,2,Al Hudaydah,Ad Durayhimi,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02292
IDPs,,,Amanat Al Asimah,Shu'aub,,,1,Taizz,Salh,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02382
IDPs,,,Amanat Al Asimah,Ma'ain,,,2,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02407
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Hajjah,Abs,ODOG,2019-04-09,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02430
IDPs,,,Dhamar,Jahran,,Hajrat Mabar,1,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02441
IDPs,,,Amanat Al Asimah,Shu'aub,,,7,Hajjah,Kushar,ODOG,2019-04-09,Conflict,Hajjah Conflict,,Shelter/Housing,0,0,0,0,0,0,0,7,0,0,0,,20190101 - 20190622,D02512
IDPs,,,Amanat Al Asimah,As Sabain,,,1,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02514
IDPs,,,Amanat Al Asimah,As Sabain,,,1,Taizz,Al Qahirah,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02515
IDPs,,,Amanat Al Asimah,As Sabain,,,1,Al Hudaydah,Al Hawak,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02516
IDPs,,,Amanat Al Asimah,As Sabain,,,1,Al Hudaydah,Al Mina,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02517
IDPs,,,Amanat Al Asimah,As Sabain,,,1,Al Hudaydah,Al Hawak,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02518
IDPs,,,Amanat Al Asimah,As Sabain,,,1,Al Hudaydah,Al Hawak,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02519
IDPs,,,Amanat Al Asimah,As Sabain,,,4,Al Hudaydah,Al Hawak,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,4,0,0,0,,20190101 - 20190622,D02522
IDPs,,,Amanat Al Asimah,As Sabain,,,3,Taizz,Al Qahirah,ODOG,2019-04-09,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D02523
IDPs,,,Amanat Al Asimah,As Sabain,,,3,Al Hudaydah,Al Mina,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,3,0,0,,20190101 - 20190622,D02570
IDPs,,,Lahj,Al Madaribah Wa Al Arah,,Al-Mahaleis,1,Al Hudaydah,As Salif,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D02711
IDPs,,,Lahj,Al Madaribah Wa Al Arah,,Al-Qabeisah,1,Taizz,Al Wazi'iyah,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D02712
IDPs,,,Lahj,Al Madaribah Wa Al Arah,,Al-Turbah,4,Taizz,Al Wazi'iyah,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,4,0,,20190101 - 20190622,D02713
IDPs,,,Lahj,Al Madaribah Wa Al Arah,,Al-Aarah,2,Taizz,Mawza,ODOG,2019-04-09,Conflict,General Conflict,,Food,0,0,0,0,0,0,0,0,0,2,0,,20190101 - 20190622,D02714
IDPs,,,Lahj,Tuban,,Al-Cadam,1,Al Dhale'e,Qa'atabah,ODOG,2019-04-09,Conflict,Al Dhale'e Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02723
IDPs,,,Lahj,Tuban,,Al-Majhafah,1,Hajjah,Hajjah,ODOG,2019-04-09,Conflict,Hajjah Conflict,,Food,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02765
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D03220
IDPs,,,Dhamar,Dhamar City,,Dhmar City - ????? ????,1,Al Hudaydah,Al Hali,ODOG,2019-04-09,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,1,0,0,0,0,0,0,0,,20190101 - 20190622,D04811
IDPs,,,Al Dhale'e,Al Azariq,,Al-Qaflah-??????,3,Al Dhale'e,Qa'atabah,ODSG,2019-04-10,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,2,1,0,0,,20190101 - 20190622,D01817
IDPs,,,Al Dhale'e,Damt,,Al-Qara'a-???????,-5,Al Dhale'e,Damt,SDSG,2019-04-10,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,-5,0,0,,20190101 - 20190622,D01820
IDPs,,,Al Dhale'e,Ash Shu'ayb,,Lanjoud-?????,1,Al Dhale'e,Qa'atabah,ODSG,2019-04-10,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D01822
IDPs,,,Al Dhale'e,Ad Dhale'e,,Al-Mazrah-???????,5,Al Dhale'e,Qa'atabah,ODSG,2019-04-10,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,5,0,0,0,0,,20190101 - 20190622,D01823
IDPs,,,Hajjah,Hajjah City,,Hajjah City-????? ???,1,Hajjah,Abs,ODSG,2019-04-10,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Household Items (NFI)-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01951
IDPs,,,Hajjah,Hajjah City,,Hajjah City-????? ???,1,Hajjah,Abs,ODSG,2019-04-10,Conflict,Hajjah Conflict,,Food- Shelter/Housing- Household Items (NFI)-,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D01952
IDPs,,,Hajjah,Khayran Al Muharraq,,Al-Ranf-?????,8,Hajjah,Abs,ODSG,2019-04-10,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,8,0,0,0,0,,20190101 - 20190622,D01975
IDPs,,,Hajjah,Khayran Al Muharraq,,Al-Ranf-?????,15,Hajjah,Abs,ODSG,2019-04-10,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,15,0,0,0,0,,20190101 - 20190622,D01976
IDPs,,,Hajjah,Khayran Al Muharraq,,Al-Ranf-?????,5,Hajjah,Abs,ODSG,2019-04-10,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,5,0,0,0,0,,20190101 - 20190622,D01977
IDPs,,,Ibb,An Nadirah,,Al-Khashah,2,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D02038
IDPs,,,Ibb,An Nadirah,,Dar Sabrh,1,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02039
IDPs,,,Ibb,An Nadirah,,Al-Naderah,4,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,2,0,2,0,,20190101 - 20190622,D02040
IDPs,,,Ibb,An Nadirah,,Sayeh,2,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D02041
IDPs,,,Ibb,An Nadirah,,Bait Al-Azani,2,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,2,0,0,,20190101 - 20190622,D02042
IDPs,,,Ibb,An Nadirah,,Al-Daroum,3,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,3,0,,20190101 - 20190622,D02043
IDPs,,,Ibb,An Nadirah,,Thee Jahdem,1,Ibb,An Nadirah,SDSG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,1,0,0,,20190101 - 20190622,D02045
IDPs,,,Amran,Huth,,Huth-???,3,Hajjah,Kushar,ODOG,2019-04-10,Conflict,Hajjah Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,3,0,0,0,,20190101 - 20190622,D02076
IDPs,,,Al Dhale'e,Al Hussein,,Al-Kharbeh-??????,8,Al Dhale'e,Qa'atabah,ODSG,2019-04-10,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,0,0,0,8,0,0,,20190101 - 20190622,D02082
IDPs,,,Al Dhale'e,Damt,,Al-Qaran-??????,5,Al Dhale'e,Qa'atabah,ODSG,2019-04-10,Conflict,Al Dhale'e Conflict,,Food- Shelter/Housing-,0,0,0,0,0,5,0,0,0,0,0,,20190101 - 20190622,D02090
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Al Hawak,ODOG,2019-04-10,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02132
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Ad Durayhimi,ODOG,2019-04-10,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,0,0,1,0,,20190101 - 20190622,D02134
IDPs,,,Dhamar,Dhamar City,,Dhmar City,1,Al Hudaydah,Al Mina,ODOG,2019-04-10,Conflict,Al Hudaydah conflict,,Shelter/Housing,0,0,0,0,0,0,0,1,0,0,0,,20190101 - 20190622,D02135
IDPs,,,Dhamar,Dhamar City,,Dhmar City,7,Ibb,An Nadirah,ODOG,2019-04-10,Conflict,General Conflict,,Shelter/Housing,0,0,0,0,0,0,0,6,1,0,0,,20190101 - 20190622,D02136
IDPs,,,Dhamar,Dhamar City,,Dhmar City,2,Al Dhale'e,Qa'atabah,ODOG,2019-04-10,Conflict,Al Dhale'e Conflict,,Shelter/Housing,0,0,0,0,0,0,0,2,0,0,0,,20190101 - 20190622,D02137
